Job title,Yearly Salary (USD),Years Work Experience
Assistant Theatre Manager,30000.0,11 - 20 years
Extension outreach professional II,52000.0,11 - 20 years
Managing editor,87500.0,21 - 30 years
LPN,43000.0,11 - 20 years
Helpdesk Manager,85000.0,21 - 30 years
Executive Production Asisstant ,56000.0,8 - 10 years
Mechanical Engineer,97500.0,8 - 10 years
Senior Financial Analyst,90000.0,21 - 30 years
Department research administrator,105000.0,11 - 20 years
Office Manager,52000.0,2 - 4 years
Study Operations Manager,115000.0,11 - 20 years
Demand Planning Team Leader,110000.0,21 - 30 years
Coordinator,48000.0,8 - 10 years
Cheesemonger,39000.0,11 - 20 years
Financial Analyst,76000.0,2 - 4 years
Assistant Director,53000.0,5-7 years
Senior material coordinator ,98004.0,11 - 20 years
Cyber Policy Advisor ,118000.0,11 - 20 years
Lead curator ,130000.0,11 - 20 years
Lab Manager (research lab),84000.0,21 - 30 years
UI/UX designer,76000.0,8 - 10 years
SeniorActuary,240000.0,11 - 20 years
Associate Director of Customer Service,47000.0,11 - 20 years
Kitchen Coordinator,30000.0,2 - 4 years
Manager,123000.0,11 - 20 years
System Integrator,76000.0,21 - 30 years
Head of insights,42000.0,8 - 10 years
Commercial Property Manager,80000.0,11 - 20 years
Vice President ,230000.0,11 - 20 years
Engineering manager,185000.0,11 - 20 years
Behavior Specialist,38480.0,8 - 10 years
Assistant Director,64000.0,5-7 years
MRI Technologist,136000.0,11 - 20 years
Financial analysts ,62000.0,8 - 10 years
Marketing Director,95000.0,8 - 10 years
Agronomy research associate ,36000.0,2 - 4 years
Product Manager,70200.0,11 - 20 years
Optometric Technician,37440.0,5-7 years
Assistant Customer Service Manager,40000.0,11 - 20 years
Director of the Multicultural Center,78000.0,5-7 years
Human Resources Advisor,85000.0,8 - 10 years
[radio] Operations Assistant,26500.0,5-7 years
Financial analyst,75000.0,2 - 4 years
"Sr Specialist of Controlling, Compliance & Regulatory Affairs ",59900.0,11 - 20 years
Junior Interior Designer,35000.0,5-7 years
Director of Customer Marketing,175000.0,11 - 20 years
High School Teacher,50000.0,8 - 10 years
Media Specialist,43000.0,5-7 years
Partner,99000.0,11 - 20 years
General Counsel,165000.0,11 - 20 years
Learning Program Manager,155650.0,11 - 20 years
LPN,52000.0,11 - 20 years
Coordinator,48000.0,8 - 10 years
Web Engineer,105000.0,11 - 20 years
Store Manager,28000.0,8 - 10 years
Menu Innovation Manager - Food Scientist,122000.0,8 - 10 years
Operations Manager ,65000.0,8 - 10 years
Office Manager,74000.0,21 - 30 years
Clinical Documentation Specialist,160000.0,11 - 20 years
Assistant Director Public Relations,50500.0,5-7 years
Software Engineer 2,99000.0,5-7 years
Senior Training Specialist,70000.0,11 - 20 years
Manager,104000.0,11 - 20 years
Attorney,157000.0,31 - 40 years
Shipper/Receiver,43000.0,21 - 30 years
Shipper/Receiver,43000.0,21 - 30 years
Program Analyst,88000.0,8 - 10 years
Manager of Technical Editing,86250.0,8 - 10 years
Associate Medical Director,210000.0,11 - 20 years
Paramedic,53884.0,2 - 4 years
Executive Director,180000.0,11 - 20 years
Program Technician ,45000.0,11 - 20 years
Senior Counsel ,165000.0,5-7 years
Paralegal,57000.0,11 - 20 years
HR Director,85500.0,31 - 40 years
Software Engineer,155000.0,2 - 4 years
VP Finance and Accounting ,190000.0,11 - 20 years
Diversity & Inclusion Manager,140000.0,11 - 20 years
Director of research,60000.0,11 - 20 years
Teacher,46000.0,11 - 20 years
Product Team Lead,127000.0,5-7 years
Librarian 1,54000.0,5-7 years
Staff Accountant,64000.0,11 - 20 years
Client Relationship Manger / Client Success Coach,57000.0,21 - 30 years
Certified Trainer,29120.0,2 - 4 years
Assistant Branch Manager,48495.0,5-7 years
Director of Programming ,120000.0,11 - 20 years
Library Media Specialist,52000.0,11 - 20 years
Assistant director ,132000.0,8 - 10 years
Client Relations Coordinator,42500.0,2 - 4 years
Senior Editor,90000.0,11 - 20 years
Account Manager,72500.0,11 - 20 years
Life Sciences,135000.0,8 - 10 years
Account management0,52000.0,5-7 years
Internet Marketing Specialist ,42000.0,2 - 4 years
Marketing Coordinator ,42000.0,11 - 20 years
Lead Purchasing Agent,39249.0,11 - 20 years
Project Coordinator,67500.0,5-7 years
 Vendor Manager,125000.0,21 - 30 years
Accounts Payable Manager,100000.0,8 - 10 years
Senior Software Engineer,147000.0,2 - 4 years
Marketing Content Writer,52000.0,2 - 4 years
Buyer,95000.0,8 - 10 years
Department Administrator,153000.0,21 - 30 years
Document control coordinator,58000.0,11 - 20 years
Quality Assurance Manager,130000.0,11 - 20 years
Vp,160000.0,11 - 20 years
Research compliance manager,70000.0,2 - 4 years
Social worker,47500.0,5-7 years
Incident manager,164000.0,5-7 years
General Manager,71000.0,8 - 10 years
Post-Production Manager,85000.0,5-7 years
Supervisory Social Insurance Specialist ,94523.0,5-7 years
Senior Data Analyst,105188.0,2 - 4 years
RN - Nurse Supervisor,86000.0,5-7 years
HMIS Administrator ,45000.0,5-7 years
Project manager,125000.0,11 - 20 years
Analyst,43000.0,5-7 years
Development Manager,73000.0,11 - 20 years
Architect,80000.0,8 - 10 years
Director,100000.0,11 - 20 years
senior associate,100000.0,21 - 30 years
Software Developer,220000.0,5-7 years
Client services director,53000.0,11 - 20 years
Head of People Ops,160000.0,21 - 30 years
HR Generalist,62500.0,11 - 20 years
Director of arts ,57000.0,11 - 20 years
Controller,85000.0,31 - 40 years
"Director, Executive Talent Mgmt",219500.0,11 - 20 years
Services Manager,130000.0,5-7 years
Senior Lecturer,73000.0,8 - 10 years
Engineering Manager,119000.0,11 - 20 years
Senior Business Analyst,89250.0,11 - 20 years
Imaging Specalist,55000.0,2 - 4 years
Associate Editor,55000.0,5-7 years
Solution Consultant ,117000.0,11 - 20 years
Donor Relations Officer,55000.0,2 - 4 years
Air Export Supervisor,65000.0,8 - 10 years
Curriculum Coordinator ,59500.0,8 - 10 years
Insurance Service Provider,29120.0,11 - 20 years
Supervising Attorney ,62551.0,8 - 10 years
Director of PEO Human Resources,73500.0,8 - 10 years
Import Manager,70000.0,11 - 20 years
Human Resource Manager,84000.0,21 - 30 years
Director,70000.0,11 - 20 years
Analyst,90000.0,1 year or less
Farm Manager,35880.0,31 - 40 years
Admin / Student Services ,41000.0,11 - 20 years
Senior project coordinator,76000.0,11 - 20 years
Manager,110452.0,11 - 20 years
Curator,34000.0,31 - 40 years
Formulation Specialist,66250.0,11 - 20 years
Associate ,39000.0,11 - 20 years
Admin. Assistant ,30000.0,11 - 20 years
Senior Developer,165000.0,11 - 20 years
Architectural intern,43000.0,2 - 4 years
Director,44000.0,11 - 20 years
Management,44000.0,11 - 20 years
Copy editor,100000.0,11 - 20 years
Assistant Public Defender,50000.0,2 - 4 years
Banker,34320.0,8 - 10 years
Administrative Coordinator ,68000.0,21 - 30 years
Assistant Public Defender,65000.0,2 - 4 years
Senior Digital Strategist,78000.0,2 - 4 years
Restaurant Manager,50000.0,11 - 20 years
Service Supervisor ,72000.0,5-7 years
Editor,100000.0,11 - 20 years
Director of Revenue Management ,62300.0,8 - 10 years
Human Resources Business Partner,130000.0,11 - 20 years
Revenue accountant,60000.0,2 - 4 years
Regional Controller,120000.0,11 - 20 years
Manager ERP ITS,80000.0,31 - 40 years
Plant Manager ,78000.0,21 - 30 years
Broadcast Journalist ,40000.0,8 - 10 years
"Software Engineer, Security",230000.0,11 - 20 years
Branch Chief ,125000.0,11 - 20 years
Director of Engineering,210000.0,11 - 20 years
Sales associate,32000.0,2 - 4 years
Case Manager,40000.0,2 - 4 years
Program Manager,59000.0,8 - 10 years
Director of Development,95000.0,11 - 20 years
Staff Research Scientist,130000.0,21 - 30 years
Manager,142000.0,11 - 20 years
Sr Executive Assistant,120000.0,5-7 years
Government Relations Director,0.0,8 - 10 years
Microbiologist ,71000.0,2 - 4 years
Attorney,95000.0,8 - 10 years
Copywriter,70000.0,5-7 years
Officer manager,36500.0,8 - 10 years
Senior research associate ,65000.0,5-7 years
Bioinformatics researcher,81000.0,21 - 30 years
Payroll clerk,46000.0,11 - 20 years
Director of Construction,130000.0,21 - 30 years
Manager,110000.0,11 - 20 years
Software engineer,161000.0,11 - 20 years
Deputy General Counsel,194000.0,11 - 20 years
HR Manager,103000.0,11 - 20 years
Nurse Educator,75000.0,11 - 20 years
Project Manager,120000.0,11 - 20 years
Teacher,128000.0,11 - 20 years
Patalegal,35000.0,21 - 30 years
Deputy Division Director,149877.0,21 - 30 years
Sr. Quality Systems Document Specialist,86000.0,5-7 years
Director of Operations,170000.0,11 - 20 years
Accounts Payable Manager,105000.0,11 - 20 years
Integrated Campaign Manager,87000.0,8 - 10 years
Store manager,72000.0,11 - 20 years
Project Manager,97000.0,11 - 20 years
"AVP, Unit Manager, Communications",139000.0,8 - 10 years
Communications & Content Manager,70000.0,11 - 20 years
Project Engineer,104000.0,5-7 years
Customer Marketing Manager,130000.0,11 - 20 years
Data visualization consultant,108000.0,8 - 10 years
Co-Executive Producer ,80000.0,5-7 years
Director of Finance,140000.0,11 - 20 years
Senior Credit Analyst ,150000.0,8 - 10 years
Mechanical design engineer ,63440.0,2 - 4 years
Staff Software Engineer,250000.0,11 - 20 years
Data & Analytics Director,88000.0,5-7 years
Operations manager,104000.0,8 - 10 years
Operations Supervisor,49955.0,8 - 10 years
Instructional design consultant ,74000.0,8 - 10 years
RN Quality Reviewer,71400.0,5-7 years
Executive Director,82400.0,11 - 20 years
Restaurant Manager ,38000.0,5-7 years
Product Leader - manager ,140000.0,11 - 20 years
senior software engineer,155000.0,11 - 20 years
Human Resouces Business Partner ,65000.0,2 - 4 years
"Project Manager, Mechanical",98000.0,11 - 20 years
Managing Principal,400000.0,11 - 20 years
Test Engineer,88000.0,1 year or less
Software development manager,160000.0,11 - 20 years
Lecturer,66142.0,8 - 10 years
Senior software engineer ,154000.0,11 - 20 years
Software engineer,180000.0,11 - 20 years
Software Engineer,95000.0,8 - 10 years
Technical Program Manager,170000.0,2 - 4 years
Admin Assistant,45240.0,8 - 10 years
Director of Legislative Affairs,75000.0,8 - 10 years
Data Scientist,145000.0,2 - 4 years
Regulatory Affairs Manager ,122000.0,11 - 20 years
Fraud Analyst,25000.0,11 - 20 years
Privacy Engineer,201000.0,11 - 20 years
Manager,60940.0,5-7 years
Platform Engineer,145000.0,11 - 20 years
Proofreader,41000.0,5-7 years
Quality Assurance Analyst ,52000.0,2 - 4 years
copyeditor,75000.0,8 - 10 years
Senior DevOps Engineer,200000.0,11 - 20 years
HR Business Partner,145000.0,11 - 20 years
Senior Accountant ,72000.0,21 - 30 years
software engineer,343200.0,11 - 20 years
Senior data engineer,115000.0,11 - 20 years
Improvement Consultant ,86000.0,11 - 20 years
HR Assistant,42400.0,5-7 years
Library Manager,63000.0,21 - 30 years
Youth Services Supervisor,52000.0,11 - 20 years
Senior Research Technician,41579.0,5-7 years
Therapist,49000.0,11 - 20 years
Director of Operations ,92500.0,11 - 20 years
Executive Director,105000.0,21 - 30 years
Speech Language Pathologist,83200.0,1 year or less
Staff Accountant,65000.0,5-7 years
Architectural Project Manager,77000.0,21 - 30 years
Lead Developer,165000.0,11 - 20 years
Software Engineer,101000.0,5-7 years
Project Manager,60000.0,8 - 10 years
librarian,65000.0,8 - 10 years
CTO,160000.0,11 - 20 years
Project Manager,98530.0,5-7 years
Product Manager,140000.0,8 - 10 years
IT Business Analyst,112300.0,11 - 20 years
Payroll Specialist ,46800.0,21 - 30 years
PC support Tech 2,58000.0,5-7 years
Senior Director,105000.0,11 - 20 years
Senior Software Engineer,136000.0,11 - 20 years
Senior copywriter,105000.0,8 - 10 years
Consultant,165000.0,1 year or less
Community investment manager,52000.0,5-7 years
CRM Analyst,87550.0,8 - 10 years
Sr. Project Manager ,154000.0,8 - 10 years
Social Work,75000.0,11 - 20 years
Executive Communications Specialist ,111000.0,11 - 20 years
"Associate, Client Finance",40000.0,11 - 20 years
Hr Generalist,52000.0,5-7 years
Principal iOS Software Engineer,225000.0,31 - 40 years
UX Designer,140000.0,8 - 10 years
Senior Product Manager,170000.0,8 - 10 years
Software Engineer,155000.0,11 - 20 years
Higher Education Assistant,68476.0,5-7 years
Director of Ecommerce,85000.0,8 - 10 years
Digital Product Manager,46000.0,8 - 10 years
Senior Accountant,72000.0,31 - 40 years
Statistician,118000.0,11 - 20 years
HR Generalist,70000.0,11 - 20 years
Research Associate,93000.0,8 - 10 years
Software Engineer,97000.0,2 - 4 years
Customer Success Manager,85000.0,8 - 10 years
data team lead,220000.0,11 - 20 years
Technology Consulting Manager,139900.0,5-7 years
iOS Developer,128000.0,5-7 years
Head of Developer Relations,165000.0,21 - 30 years
supervisor,80000.0,31 - 40 years
Pharmacy Technician ,33280.0,2 - 4 years
Program Manager,84000.0,21 - 30 years
Engineering Manager,145000.0,11 - 20 years
Senior electrical engineer,176000.0,8 - 10 years
Technical Writer,128000.0,8 - 10 years
Senior data analyst,115000.0,31 - 40 years
Outreach and Education Coordinator,43860.0,11 - 20 years
Paralegal,46000.0,11 - 20 years
Clinician Recruiter,95220.0,8 - 10 years
Dog groomer,25000.0,11 - 20 years
Training Manager,109000.0,11 - 20 years
Manager,106000.0,11 - 20 years
Psychologist,90000.0,2 - 4 years
Engineering Manager,245000.0,21 - 30 years
Multi-site Coordinator,33900.0,21 - 30 years
Firm Administrator ,105000.0,11 - 20 years
Senior UX Designer,140000.0,11 - 20 years
Account Manager ,56000.0,11 - 20 years
UC Project Manager,61000.0,21 - 30 years
Senior Geochemist ,87000.0,8 - 10 years
Senior scientist,119000.0,1 year or less
Nurse practitioner,75000.0,8 - 10 years
Consulting Manager,165000.0,21 - 30 years
Administrative Assistant,57000.0,8 - 10 years
Senior SRE,192000.0,8 - 10 years
Software Engineer II,132000.0,5-7 years
Community Recreation Director,66000.0,11 - 20 years
Product Manager,90000.0,2 - 4 years
Teacher,90000.0,11 - 20 years
Site Contracts,87500.0,5-7 years
HRBP,102000.0,8 - 10 years
"Sr. Manager, Software Engineering ",205000.0,11 - 20 years
Mechanical Engineer II,91182.0,2 - 4 years
CT Technologist,110000.0,21 - 30 years
Editor in chief,470000.0,21 - 30 years
Senior financial administrator ,98500.0,11 - 20 years
Logistics Coordinator,40000.0,8 - 10 years
Lawyer (Public Sector),95000.0,5-7 years
Registered Nurse,75000.0,11 - 20 years
Recreation Program Specialist,45000.0,11 - 20 years
Counsel,255000.0,11 - 20 years
Special Education teacher,82000.0,21 - 30 years
Technical Lead,195000.0,11 - 20 years
Managet,100000.0,11 - 20 years
"Manager, Project Management Office",119000.0,11 - 20 years
International affairs consultant,65000.0,5-7 years
Project Manager,130000.0,11 - 20 years
VP of Operations,53000.0,11 - 20 years
Nurse Practitioner ,96000.0,2 - 4 years
Technical Services Engineer,120000.0,5-7 years
Software Engineering Manager,235000.0,11 - 20 years
Design Program Manager,140000.0,21 - 30 years
Program Manager,158000.0,21 - 30 years
Revenue Manager ,92500.0,5-7 years
"Sr director, design",350000.0,11 - 20 years
senior program manager,130000.0,5-7 years
Senior Data Analytics Developer,170000.0,11 - 20 years
Registrar,38000.0,11 - 20 years
HR Consultant,106000.0,11 - 20 years
Biological Technician,56763.0,2 - 4 years
Team Lead,120000.0,21 - 30 years
"Manager, Information Security",226500.0,8 - 10 years
"VP, Director",170000.0,11 - 20 years
Project Coordinator,45000.0,2 - 4 years
Senior manager of quality assurance ,60000.0,5-7 years
Team Lead,80000.0,8 - 10 years
Staff Software Engineer,216000.0,21 - 30 years
Project Manager,75000.0,21 - 30 years
Director,205000.0,11 - 20 years
Staff Attorney,60593.0,8 - 10 years
Associate,13000.0,2 - 4 years
Value stream manager,123000.0,5-7 years
Solution Architect,123000.0,11 - 20 years
"Director, clinical operations ",242500.0,11 - 20 years
IT Support Specialist,75000.0,11 - 20 years
Project Manager,66000.0,11 - 20 years
Senior Software Engineer,149000.0,11 - 20 years
Project manager,62000.0,8 - 10 years
Podcast Strategy,120000.0,11 - 20 years
Senior Software Developer,140000.0,11 - 20 years
Biostatistician,72000.0,8 - 10 years
Research assistant 2,43000.0,2 - 4 years
Newsletter Producer,53000.0,11 - 20 years
Principal Software Engineer,185000.0,21 - 30 years
Senior Director,200000.0,31 - 40 years
Consulting Director,175000.0,11 - 20 years
Regional HR Manager ,75000.0,8 - 10 years
Group manager of analytics,170000.0,11 - 20 years
Senior Industrial Hygienist,90000.0,8 - 10 years
Compensation Manager,93500.0,11 - 20 years
Technical Writer ,47840.0,8 - 10 years
paralegal,58000.0,11 - 20 years
Theatre Technical Director ,45000.0,8 - 10 years
campaign manager,103000.0,5-7 years
Software Developer,107000.0,11 - 20 years
Executive Director,165000.0,8 - 10 years
Software Developer,175000.0,21 - 30 years
Operations manager,125000.0,11 - 20 years
Integration Engineer ,85000.0,11 - 20 years
Project Manager,80000.0,11 - 20 years
lecturer,70000.0,8 - 10 years
Director of Application Development,150000.0,21 - 30 years
Supervisory IT Specialist (Infosec),150000.0,11 - 20 years
